U 35 | F 573440 | FPS 0475 | D 1409 | rR:μσmM 0.50 0.50 0.00 1.00 | ARPS: 0.012 | ADR: 0.096 | F:μσmM 526.6 474.1 20.0 1000.0 | H 1.891 | V 0.019 | pL -0.002 | vL 0.004 | ∇ 0.023
U 36 | F 589824 | FPS 0466 | D 1444 | rR:μσmM 0.57 0.50 0.00 1.00 | ARPS: 0.015 | ADR: 0.118 | F:μσmM 462.2 470.0 15.0 1000.0 | H 1.886 | V 0.023 | pL -0.005 | vL 0.005 | ∇ 0.035
U 37 | F 606208 | FPS 0489 | D 1477 | rR:μσmM 0.38 0.48 0.00 1.00 | ARPS: 0.010 | ADR: 0.083 | F:μσmM 642.2 462.2 16.0 1000.0 | H 1.912 | V 0.012 | pL 0.001 | vL 0.002 | ∇ 0.020
U 38 | F 622592 | FPS 0473 | D 1512 | rR:μσmM 0.53 0.50 0.00 1.00 | ARPS: 0.013 | ADR: 0.092 | F:μσmM 500.0 471.9 14.0 1000.0 | H 1.902 | V 0.023 | pL -0.001 | vL 0.003 | ∇ 0.034
U 39 | F 638976 | FPS 0478 | D 1546 | rR:μσmM 0.53 0.50 0.00 1.00 | ARPS: 0.013 | ADR: 0.103 | F:μσmM 502.2 467.9 19.0 1000.0 | H 1.913 | V 0.019 | pL -0.000 | vL 0.002 | ∇ 0.028
U 40 | F 655360 | FPS 0448 | D 1583 | rR:μσmM 0.64 0.48 0.00 1.00 | ARPS: 0.017 | ADR: 0.140 | F:μσmM 391.6 453.3 18.0 1000.0 | H 1.901 | V 0.032 | pL -0.004 | vL 0.003 | ∇ 0.032
U 41 | F 671744 | FPS 0475 | D 1617 | rR:μσmM 0.55 0.50 0.00 1.00 | ARPS: 0.015 | ADR: 0.113 | F:μσmM 491.8 465.9 10.0 1000.0 | H 1.912 | V 0.019 | pL -0.003 | vL 0.002 | ∇ 0.027
U 42 | F 688128 | FPS 0470 | D 1652 | rR:μσmM 0.53 0.50 0.00 1.00 | ARPS: 0.014 | ADR: 0.096 | F:μσmM 497.2 472.7 10.0 1000.0 | H 1.911 | V 0.019 | pL -0.002 | vL 0.002 | ∇ 0.028
U 43 | F 704512 | FPS 0477 | D 1687 | rR:μσmM 0.41 0.49 0.00 1.00 | ARPS: 0.014 | ADR: 0.120 | F:μσmM 608.1 472.8 13.0 1000.0 | H 1.924 | V 0.012 | pL -0.001 | vL 0.001 | ∇ 0.028
U 44 | F 720896 | FPS 0476 | D 1721 | rR:μσmM 0.48 0.50 0.00 1.00 | ARPS: 0.012 | ADR: 0.096 | F:μσmM 539.8 475.5 17.0 1000.0 | H 1.915 | V 0.019 | pL 0.001 | vL 0.002 | ∇ 0.032
U 45 | F 737280 | FPS 0473 | D 1756 | rR:μσmM 0.45 0.50 0.00 1.00 | ARPS: 0.015 | ADR: 0.123 | F:μσmM 571.0 476.3 13.0 1000.0 | H 1.923 | V 0.016 | pL 0.001 | vL 0.001 | ∇ 0.021
U 46 | F 753664 | FPS 0465 | D 1791 | rR:μσmM 0.38 0.49 0.00 1.00 | ARPS: 0.007 | ADR: 0.052 | F:μσmM 647.1 448.6 23.0 1000.0 | H 1.924 | V 0.016 | pL 0.002 | vL 0.002 | ∇ 0.025
U 47 | F 770048 | FPS 0464 | D 1826 | rR:μσmM 0.48 0.50 0.00 1.00 | ARPS: 0.013 | ADR: 0.109 | F:μσmM 545.2 471.1 20.0 1000.0 | H 1.923 | V 0.019 | pL -0.000 | vL 0.001 | ∇ 0.025
U 48 | F 786432 | FPS 0473 | D 1861 | rR:μσmM 0.43 0.49 0.00 1.00 | ARPS: 0.011 | ADR: 0.090 | F:μσmM 599.8 463.3 18.0 1000.0 | H 1.926 | V 0.016 | pL 0.001 | vL 0.001 | ∇ 0.021
U 49 | F 802816 | FPS 0461 | D 1896 | rR:μσmM 0.50 0.50 0.00 1.00 | ARPS: 0.016 | ADR: 0.117 | F:μσmM 526.4 474.2 11.0 1000.0 | H 1.919 | V 0.019 | pL 0.001 | vL 0.002 | ∇ 0.025
U 50 | F 819200 | FPS 0460 | D 1932 | rR:μσmM 0.58 0.49 0.00 1.00 | ARPS: 0.018 | ADR: 0.144 | F:μσmM 449.0 467.1 14.0 1000.0 | H 1.906 | V 0.024 | pL -0.002 | vL 0.002 | ∇ 0.031
Status saved
U 51 | F 835584 | FPS 0469 | D 1967 | rR:μσmM 0.48 0.50 0.00 1.00 | ARPS: 0.013 | ADR: 0.105 | F:μσmM 540.9 474.7 17.0 1000.0 | H 1.914 | V 0.019 | pL -0.000 | vL 0.002 | ∇ 0.029
U 52 | F 851968 | FPS 0474 | D 2001 | rR:μσmM 0.44 0.50 0.00 1.00 | ARPS: 0.013 | ADR: 0.110 | F:μσmM 580.6 470.7 16.0 1000.0 | H 1.922 | V 0.013 | pL -0.001 | vL 0.001 | ∇ 0.025
