U 26 | F 425984 | FPS 0473 | D 1096 | rR:μσmM 0.33 0.47 0.00 1.00 | ARPS: 0.006 | ADR: 0.044 | F:μσmM 689.2 440.0 29.0 1000.0 | H 1.911 | V 0.016 | pL 0.004 | vL 0.003 | ∇ 0.016
U 27 | F 442368 | FPS 0484 | D 1130 | rR:μσmM 0.41 0.49 0.00 1.00 | ARPS: 0.008 | ADR: 0.048 | F:μσmM 617.2 461.8 32.0 1000.0 | H 1.908 | V 0.016 | pL 0.001 | vL 0.003 | ∇ 0.023
U 28 | F 458752 | FPS 0468 | D 1165 | rR:μσmM 0.53 0.50 0.00 1.00 | ARPS: 0.010 | ADR: 0.062 | F:μσmM 507.2 464.1 25.0 1000.0 | H 1.898 | V 0.018 | pL -0.005 | vL 0.005 | ∇ 0.028
U 29 | F 475136 | FPS 0468 | D 1200 | rR:μσmM 0.59 0.49 0.00 1.00 | ARPS: 0.012 | ADR: 0.084 | F:μσmM 454.2 458.2 16.0 1000.0 | H 1.903 | V 0.023 | pL -0.004 | vL 0.005 | ∇ 0.035
U 30 | F 491520 | FPS 0443 | D 1237 | rR:μσmM 0.65 0.48 0.00 1.00 | ARPS: 0.015 | ADR: 0.115 | F:μσmM 393.7 450.2 19.0 1000.0 | H 1.888 | V 0.033 | pL -0.007 | vL 0.005 | ∇ 0.044
U 31 | F 507904 | FPS 0479 | D 1271 | rR:μσmM 0.46 0.50 0.00 1.00 | ARPS: 0.007 | ADR: 0.040 | F:μσmM 571.5 463.1 29.0 1000.0 | H 1.904 | V 0.022 | pL 0.005 | vL 0.002 | ∇ 0.027
U 32 | F 524288 | FPS 0481 | D 1306 | rR:μσmM 0.36 0.48 0.00 1.00 | ARPS: 0.011 | ADR: 0.090 | F:μσmM 653.0 462.6 22.0 1000.0 | H 1.917 | V 0.019 | pL 0.007 | vL 0.001 | ∇ 0.025
U 33 | F 540672 | FPS 0479 | D 1340 | rR:μσmM 0.37 0.48 0.00 1.00 | ARPS: 0.009 | ADR: 0.060 | F:μσmM 654.5 451.2 14.0 1000.0 | H 1.916 | V 0.018 | pL 0.004 | vL 0.002 | ∇ 0.037
U 34 | F 557056 | FPS 0475 | D 1374 | rR:μσmM 0.50 0.50 0.00 1.00 | ARPS: 0.009 | ADR: 0.058 | F:μσmM 538.3 462.4 22.0 1000.0 | H 1.915 | V 0.014 | pL -0.002 | vL 0.002 | ∇ 0.029
U 35 | F 573440 | FPS 0471 | D 1409 | rR:μσmM 0.45 0.50 0.00 1.00 | ARPS: 0.012 | ADR: 0.091 | F:μσmM 576.9 470.0 14.0 1000.0 | H 1.907 | V 0.017 | pL -0.001 | vL 0.002 | ∇ 0.029
