U 39 | F 638976 | FPS 0476 | D 1678 | rR:μσmM 0.50 0.50 0.00 1.00 | ARPS: 0.016 | ADR: 0.141 | F:μσmM 518.6 481.6 19.0 1000.0 | H 1.903 | V 0.020 | pL -0.001 | vL 0.003 | ∇ 0.030
U 40 | F 655360 | FPS 0473 | D 1712 | rR:μσmM 0.43 0.49 0.00 1.00 | ARPS: 0.013 | ADR: 0.107 | F:μσmM 588.4 475.4 20.0 1000.0 | H 1.912 | V 0.015 | pL -0.000 | vL 0.002 | ∇ 0.035
U 41 | F 671744 | FPS 0485 | D 1746 | rR:μσmM 0.32 0.47 0.00 1.00 | ARPS: 0.009 | ADR: 0.077 | F:μσmM 693.8 448.3 26.0 1000.0 | H 1.923 | V 0.012 | pL 0.003 | vL 0.001 | ∇ 0.023
U 42 | F 688128 | FPS 0453 | D 1782 | rR:μσmM 0.57 0.49 0.00 1.00 | ARPS: 0.014 | ADR: 0.109 | F:μσmM 462.1 464.7 16.0 1000.0 | H 1.908 | V 0.028 | pL -0.002 | vL 0.004 | ∇ 0.037
U 43 | F 704512 | FPS 0474 | D 1817 | rR:μσmM 0.44 0.50 0.00 1.00 | ARPS: 0.014 | ADR: 0.117 | F:μσmM 575.9 474.6 13.0 1000.0 | H 1.919 | V 0.016 | pL 0.001 | vL 0.002 | ∇ 0.030
U 44 | F 720896 | FPS 0467 | D 1852 | rR:μσmM 0.54 0.50 0.00 1.00 | ARPS: 0.016 | ADR: 0.131 | F:μσmM 483.6 474.6 18.0 1000.0 | H 1.912 | V 0.022 | pL -0.002 | vL 0.002 | ∇ 0.031
U 45 | F 737280 | FPS 0475 | D 1886 | rR:μσmM 0.42 0.49 0.00 1.00 | ARPS: 0.018 | ADR: 0.148 | F:μσmM 590.1 478.8 12.0 1000.0 | H 1.923 | V 0.013 | pL 0.001 | vL 0.002 | ∇ 0.023
U 46 | F 753664 | FPS 0474 | D 1921 | rR:μσmM 0.51 0.50 0.00 1.00 | ARPS: 0.020 | ADR: 0.168 | F:μσmM 502.2 483.9 12.0 1000.0 | H 1.911 | V 0.021 | pL 0.001 | vL 0.002 | ∇ 0.033
U 47 | F 770048 | FPS 0478 | D 1955 | rR:μσmM 0.40 0.49 0.00 1.00 | ARPS: 0.016 | ADR: 0.142 | F:μσmM 611.0 476.4 15.0 1000.0 | H 1.924 | V 0.011 | pL 0.000 | vL 0.001 | ∇ 0.025
U 48 | F 786432 | FPS 0467 | D 1990 | rR:μσmM 0.54 0.50 0.00 1.00 | ARPS: 0.021 | ADR: 0.168 | F:μσmM 479.6 478.0 9.0 1000.0 | H 1.913 | V 0.022 | pL 0.000 | vL 0.003 | ∇ 0.031
