U 25 | F 409600 | FPS 0364 | D 1419 | rR:μσmM 0.58 0.49 0.00 1.00 | ARPS: 0.011 | ADR: 0.070 | F:μσmM 474.4 454.3 12.0 1000.0 | H 1.898 | V 0.026 | pL -0.002 | vL 0.006 | ∇ 0.029
U 26 | F 425984 | FPS 0355 | D 1465 | rR:μσmM 0.32 0.47 0.00 1.00 | ARPS: 0.005 | ADR: 0.036 | F:μσmM 711.0 422.8 24.0 1000.0 | H 1.904 | V 0.018 | pL 0.005 | vL 0.003 | ∇ 0.017
U 27 | F 442368 | FPS 0372 | D 1509 | rR:μσmM 0.44 0.50 0.00 1.00 | ARPS: 0.009 | ADR: 0.060 | F:μσmM 587.6 461.9 20.0 1000.0 | H 1.909 | V 0.019 | pL 0.002 | vL 0.004 | ∇ 0.020
U 28 | F 458752 | FPS 0365 | D 1554 | rR:μσmM 0.59 0.49 0.00 1.00 | ARPS: 0.013 | ADR: 0.093 | F:μσmM 452.5 459.6 14.0 1000.0 | H 1.892 | V 0.024 | pL -0.004 | vL 0.006 | ∇ 0.031
U 29 | F 475136 | FPS 0370 | D 1599 | rR:μσmM 0.56 0.50 0.00 1.00 | ARPS: 0.017 | ADR: 0.137 | F:μσmM 471.4 473.4 16.0 1000.0 | H 1.873 | V 0.027 | pL 0.001 | vL 0.006 | ∇ 0.032
U 30 | F 491520 | FPS 0369 | D 1643 | rR:μσmM 0.50 0.50 0.00 1.00 | ARPS: 0.010 | ADR: 0.067 | F:μσmM 530.7 469.7 24.0 1000.0 | H 1.878 | V 0.025 | pL 0.004 | vL 0.005 | ∇ 0.028
U 31 | F 507904 | FPS 0354 | D 1689 | rR:μσmM 0.70 0.46 0.00 1.00 | ARPS: 0.020 | ADR: 0.154 | F:μσmM 333.8 433.7 10.0 1000.0 | H 1.852 | V 0.044 | pL -0.006 | vL 0.009 | ∇ 0.052
U 32 | F 524288 | FPS 0385 | D 1732 | rR:μσmM 0.42 0.49 0.00 1.00 | ARPS: 0.011 | ADR: 0.084 | F:μσmM 599.3 468.3 18.0 1000.0 | H 1.883 | V 0.027 | pL 0.011 | vL 0.002 | ∇ 0.036
U 33 | F 540672 | FPS 0372 | D 1776 | rR:μσmM 0.48 0.50 0.00 1.00 | ARPS: 0.016 | ADR: 0.123 | F:μσmM 544.1 473.0 13.0 1000.0 | H 1.894 | V 0.023 | pL 0.005 | vL 0.002 | ∇ 0.031
U 34 | F 557056 | FPS 0382 | D 1819 | rR:μσmM 0.43 0.49 0.00 1.00 | ARPS: 0.012 | ADR: 0.094 | F:μσmM 594.5 468.9 15.0 1000.0 | H 1.912 | V 0.016 | pL 0.000 | vL 0.002 | ∇ 0.026
