U 38 | F 622592 | FPS 0462 | D 1600 | rR:μσmM 0.58 0.49 0.00 1.00 | ARPS: 0.019 | ADR: 0.156 | F:μσmM 442.7 471.7 11.0 1000.0 | H 1.907 | V 0.025 | pL -0.000 | vL 0.002 | ∇ 0.035
U 39 | F 638976 | FPS 0461 | D 1636 | rR:μσmM 0.52 0.50 0.00 1.00 | ARPS: 0.015 | ADR: 0.107 | F:μσmM 514.7 469.7 11.0 1000.0 | H 1.910 | V 0.020 | pL 0.001 | vL 0.002 | ∇ 0.040
U 40 | F 655360 | FPS 0477 | D 1670 | rR:μσmM 0.43 0.49 0.00 1.00 | ARPS: 0.018 | ADR: 0.154 | F:μσmM 585.1 479.3 13.0 1000.0 | H 1.923 | V 0.016 | pL 0.002 | vL 0.001 | ∇ 0.027
U 41 | F 671744 | FPS 0473 | D 1705 | rR:μσmM 0.59 0.49 0.00 1.00 | ARPS: 0.022 | ADR: 0.188 | F:μσmM 430.2 475.4 12.0 1000.0 | H 1.912 | V 0.027 | pL -0.000 | vL 0.002 | ∇ 0.036
U 42 | F 688128 | FPS 0479 | D 1739 | rR:μσmM 0.52 0.50 0.00 1.00 | ARPS: 0.023 | ADR: 0.197 | F:μσmM 498.8 486.3 13.0 1000.0 | H 1.918 | V 0.015 | pL -0.002 | vL 0.001 | ∇ 0.026
U 43 | F 704512 | FPS 0479 | D 1773 | rR:μσmM 0.45 0.50 0.00 1.00 | ARPS: 0.023 | ADR: 0.197 | F:μσmM 561.9 486.1 12.0 1000.0 | H 1.925 | V 0.012 | pL 0.001 | vL 0.001 | ∇ 0.024
U 44 | F 720896 | FPS 0472 | D 1808 | rR:μσmM 0.52 0.50 0.00 1.00 | ARPS: 0.021 | ADR: 0.183 | F:μσmM 500.0 485.2 16.0 1000.0 | H 1.920 | V 0.016 | pL -0.002 | vL 0.002 | ∇ 0.031
U 45 | F 737280 | FPS 0479 | D 1842 | rR:μσmM 0.41 0.49 0.00 1.00 | ARPS: 0.016 | ADR: 0.139 | F:μσmM 605.5 475.9 15.0 1000.0 | H 1.925 | V 0.009 | pL -0.002 | vL 0.001 | ∇ 0.024
U 46 | F 753664 | FPS 0476 | D 1876 | rR:μσmM 0.53 0.50 0.00 1.00 | ARPS: 0.024 | ADR: 0.203 | F:μσmM 483.7 485.1 12.0 1000.0 | H 1.922 | V 0.015 | pL -0.002 | vL 0.001 | ∇ 0.030
U 47 | F 770048 | FPS 0470 | D 1911 | rR:μσmM 0.53 0.50 0.00 1.00 | ARPS: 0.024 | ADR: 0.210 | F:μσmM 484.8 485.8 12.0 1000.0 | H 1.916 | V 0.019 | pL 0.002 | vL 0.002 | ∇ 0.038
U 48 | F 786432 | FPS 0462 | D 1947 | rR:μσmM 0.56 0.50 0.00 1.00 | ARPS: 0.026 | ADR: 0.218 | F:μσmM 456.4 481.3 11.0 1000.0 | H 1.911 | V 0.024 | pL -0.001 | vL 0.002 | ∇ 0.033
U 49 | F 802816 | FPS 0462 | D 1982 | rR:μσmM 0.59 0.49 0.00 1.00 | ARPS: 0.029 | ADR: 0.249 | F:μσmM 424.2 480.3 11.0 1000.0 | H 1.914 | V 0.021 | pL -0.000 | vL 0.001 | ∇ 0.029
U 50 | F 819200 | FPS 0467 | D 2017 | rR:μσmM 0.58 0.49 0.00 1.00 | ARPS: 0.027 | ADR: 0.233 | F:μσmM 433.0 479.4 12.0 1000.0 | H 1.910 | V 0.021 | pL 0.001 | vL 0.002 | ∇ 0.035
Status saved
U 51 | F 835584 | FPS 0466 | D 2053 | rR:μσmM 0.56 0.50 0.00 1.00 | ARPS: 0.029 | ADR: 0.239 | F:μσmM 460.6 480.7 10.0 1000.0 | H 1.911 | V 0.021 | pL 0.002 | vL 0.002 | ∇ 0.031
U 52 | F 851968 | FPS 0434 | D 2090 | rR:μσmM 0.58 0.49 0.00 1.00 | ARPS: 0.025 | ADR: 0.209 | F:μσmM 455.9 469.3 12.0 1000.0 | H 1.899 | V 0.023 | pL 0.001 | vL 0.002 | ∇ 0.035
